조건별분석,,,,,
[검색조건],,,,,
,분류: 지상,,,,
"		108",서울,2023-02-06,7.1,67.6,10.69
"		108",서울,2023-02-07,6.4,61,10.12
"		108",서울,2023-02-08,9.5,89.6,14.82
"		108",서울,2023-02-09,6.7,63.2,12.36
"		108",서울,2023-02-10,2,18.9,7.07
"		108",서울,2023-02-11,5.5,51.4,10.9
"		108",서울,2023-02-12,2,18.7,8.48
"		108",서울,2023-02-13,0.8,7.5,5.44
"		108",서울,2023-02-14,9.5,88,15.95
"		108",서울,2023-02-15,9.4,87,15.24
"		108",서울,2023-02-16,1.9,17.4,6.45
"		108",서울,2023-02-17,7.5,68.8,13.67
"		108",서울,2023-02-18,0,0,2.91
"		108",서울,2023-02-19,7,63.6,14.47
"		108",서울,2023-02-20,9.5,86.4,18.16
"		108",서울,2023-02-21,10,90.9,18.25
"		108",서울,2023-02-22,9.2,82.9,17
"		108",서울,2023-02-23,10,90.1,15.87
"		108",서울,2023-02-24,9.8,87.5,17.42
"		108",서울,2023-02-25,10.2,91.1,18.6
"		108",서울,2023-02-26,10.4,92.9,18.83
"		108",서울,2023-02-27,10.5,92.9,18.65
"		108",서울,2023-02-28,3,26.5,10.26
"		108",서울,2023-03-01,4.1,36.3,10.19
"		108",서울,2023-03-02,10.5,92.1,19.45
"		108",서울,2023-03-03,7.5,65.8,15.67
"		108",서울,2023-03-04,8.7,75.7,14.91
"		108",서울,2023-03-05,10.1,87.8,17.21
"		108",서울,2023-03-06,10,87,18.63
"		108",서울,2023-03-07,7,60.3,15.35
"		108",서울,2023-03-08,1.8,15.5,8.39
"		108",서울,2023-03-09,2,17.1,6.52
"		108",서울,2023-03-10,9.6,82.1,17.03
"		108",서울,2023-03-11,7.6,64.4,16.95
"		108",서울,2023-03-12,0.8,6.8,3.68
"		108",서울,2023-03-13,9.8,83.1,20.79
"		108",서울,2023-03-14,9.1,76.5,19.73
"		108",서울,2023-03-15,1.2,10.1,5.62
"		108",서울,2023-03-16,6.7,55.8,18.09
"		108",서울,2023-03-17,4.4,36.7,13.94
"		108",서울,2023-03-18,9.9,82.5,19.07
"		108",서울,2023-03-19,11.1,91.7,21.25
"		108",서울,2023-03-20,10,82.6,20.06
"		108",서울,2023-03-21,10.8,88.5,21.6
"		108",서울,2023-03-22,6.2,50.8,16.64
"		108",서울,2023-03-23,5.3,43.4,14.5
"		108",서울,2023-03-24,6.6,53.7,16.13
"		108",서울,2023-03-25,5.7,46.3,15.13
"		108",서울,2023-03-26,11.1,89.5,24.36
"		108",서울,2023-03-27,11.1,89.5,22.88
"		108",서울,2023-03-28,7.4,59.7,18.44
"		108",서울,2023-03-29,11,88,21.79
"		108",서울,2023-03-30,11.5,92,23.58
"		108",서울,2023-03-31,11.2,88.9,22.99
"		108",서울,2023-04-01,10.8,85.7,21.48
"		108",서울,2023-04-02,11.7,92.9,24.08
"		108",서울,2023-04-03,11,86.6,22.95
"		108",서울,2023-04-04,1.6,12.6,10.78
"		108",서울,2023-04-05,0,0,1.56
"		108",서울,2023-04-06,0,0,2.15
"		108",서울,2023-04-07,10.4,81.3,23.34
"		108",서울,2023-04-08,11.9,92.2,25.74
"		108",서울,2023-04-09,12,93,25.54
"		108",서울,2023-04-10,10.1,78.3,22.29
"		108",서울,2023-04-11,0,0,2.01
"		108",서울,2023-04-12,10.7,82.3,24.87
"		108",서울,2023-04-13,4.4,33.6,16.17
"		108",서울,2023-04-14,3.3,25.2,14.25
"		108",서울,2023-04-15,2.3,17.4,9.5
"		108",서울,2023-04-16,3.2,24.2,14.45
"		108",서울,2023-04-17,6.1,46.2,17.76
"		108",서울,2023-04-18,3.6,27.1,10.85
"		108",서울,2023-04-19,12.3,92.5,27.82
"		108",서울,2023-04-20,0,0,4.12
"		108",서울,2023-04-21,7.8,58.2,21.05
"		108",서울,2023-04-22,5.6,41.8,21.2
"		108",서울,2023-04-23,4.4,32.8,19.47
"		108",서울,2023-04-24,7.8,57.8,20.31
"		108",서울,2023-04-25,0,0,5.22
"		108",서울,2023-04-26,4.1,30.1,15.52
"		108",서울,2023-04-27,12.2,89.7,26.55
"		108",서울,2023-04-28,8.4,61.8,21.25
"		108",서울,2023-04-29,0.8,5.8,6.04
"		108",서울,2023-04-30,5.8,42.3,19.71
"		108",서울,2023-05-01,11.4,83.2,26.8
"		108",서울,2023-05-02,8.2,59.4,21.58
"		108",서울,2023-05-03,10.4,75.4,26.2
"		108",서울,2023-05-04,2.5,18.1,16.89
"		108",서울,2023-05-05,0,0,1.74
"		108",서울,2023-05-06,0,0,5.42
"		108",서울,2023-05-07,2.2,15.8,12.18
"		108",서울,2023-05-08,12.7,90.7,28.55
"		108",서울,2023-05-09,12.8,91.4,28.29
"		108",서울,2023-05-10,12.7,90.7,25.58
"		108",서울,2023-05-11,12.9,91.5,27.64
"		108",서울,2023-05-12,6.7,47.5,19.9
"		108",서울,2023-05-13,8.8,62.4,23.86
"		108",서울,2023-05-14,9.6,67.6,25.41
"		108",서울,2023-05-15,11.6,81.7,26.49
"		108",서울,2023-05-16,12.1,85.2,27.62
"		108",서울,2023-05-17,11.4,80.3,27.59
"		108",서울,2023-05-18,1.4,9.8,13.7
"		108",서울,2023-05-19,9.4,65.7,25.57
"		108",서울,2023-05-20,9.7,67.8,25.72
"		108",서울,2023-05-21,5.8,40.6,20.72
"		108",서울,2023-05-22,7.9,54.9,23.93
"		108",서울,2023-05-23,13.2,91.7,29.85
"		108",서울,2023-05-24,6.2,43.1,19.16
"		108",서울,2023-05-25,10.4,72.2,27.9
"		108",서울,2023-05-26,10.7,73.8,26.25
"		108",서울,2023-05-27,0,0,3.13
"		108",서울,2023-05-28,0,0,2.46
"		108",서울,2023-05-29,4.1,28.3,15.87
"		108",서울,2023-05-30,3.7,25.5,18.2
"		108",서울,2023-05-31,7.1,48.6,23.98
"		108",서울,2023-06-01,2.2,15.1,15.18
"		108",서울,2023-06-02,5.2,35.6,14.24
"		108",서울,2023-06-03,13.3,91.1,31.19
"		108",서울,2023-06-04,11.1,76,28.74
"		108",서울,2023-06-05,10.9,74.7,26.6
"		108",서울,2023-06-06,7.9,53.7,21.98
"		108",서울,2023-06-07,1,6.8,10.07
"		108",서울,2023-06-08,0.9,6.1,10.19
"		108",서울,2023-06-09,11.8,80.3,28.15
"		108",서울,2023-06-10,5.6,38.1,18.18
"		108",서울,2023-06-11,6.4,43.5,21.1
"		108",서울,2023-06-12,6.7,45.6,19.9
"		108",서울,2023-06-13,9.9,67.3,25.43
"		108",서울,2023-06-14,4.2,28.4,13.12
"		108",서울,2023-06-15,8.8,59.5,25.05
"		108",서울,2023-06-16,12.5,84.5,29.89
"		108",서울,2023-06-17,10.8,73,27.4
"		108",서울,2023-06-18,12.3,83.1,28.79
"		108",서울,2023-06-19,11,74.3,25.29
"		108",서울,2023-06-20,0,0,5.89
"		108",서울,2023-06-21,0,0,4.79
"		108",서울,2023-06-22,6.9,46.6,21.48
"		108",서울,2023-06-23,5.3,35.8,18.74
"		108",서울,2023-06-24,9.7,65.5,21.93
"		108",서울,2023-06-25,8.7,58.8,23.62
"		108",서울,2023-06-26,0,0,3.39
"		108",서울,2023-06-27,6.8,45.9,20.95
"		108",서울,2023-06-28,3.8,25.7,18.56
"		108",서울,2023-06-29,0,0,2.31
"		108",서울,2023-06-30,1.4,9.5,10.02
"		108",서울,2023-07-01,12.4,84.4,29.21
"		108",서울,2023-07-02,4.3,29.3,19.16
"		108",서울,2023-07-03,8.8,59.9,25.34
"		108",서울,2023-07-04,0,0,6.08
"		108",서울,2023-07-05,4.5,30.6,19.96
"		108",서울,2023-07-06,8.8,59.9,25.47
"		108",서울,2023-07-07,8.7,59.2,23.96
"		108",서울,2023-07-08,1.6,11,13.93
"		108",서울,2023-07-09,1.1,7.5,8.07
"		108",서울,2023-07-10,5.9,40.4,18.41
"		108",서울,2023-07-11,0,0,2.21
"		108",서울,2023-07-12,1.2,8.2,12.34
"		108",서울,2023-07-13,0,0,2.63
"		108",서울,2023-07-14,0,0,1.52
"		108",서울,2023-07-15,0,0,3.16
"		108",서울,2023-07-16,0,0,5.31
"		108",서울,2023-07-17,0.4,2.8,10.78
"		108",서울,2023-07-18,2,13.8,7.94
"		108",서울,2023-07-19,11.5,79.9,26.41
"		108",서울,2023-07-20,9.9,68.8,24.17
"		108",서울,2023-07-21,10.2,70.8,23.64
"		108",서울,2023-07-22,6.4,44.4,17.66
"		108",서울,2023-07-23,0,0,2.37
"		108",서울,2023-07-24,3.2,22.4,14.08
"		108",서울,2023-07-25,3.5,24.5,16.84
"		108",서울,2023-07-26,3,21,15.79
"		108",서울,2023-07-27,6.8,47.6,18.25
"		108",서울,2023-07-28,9.5,66.9,23.36
"		108",서울,2023-07-29,6.8,47.9,18.5
"		108",서울,2023-07-30,9.1,64.1,21.99
"		108",서울,2023-07-31,6.5,46.1,20.26
"		108",서울,2023-08-01,10.3,73,21.25
"		108",서울,2023-08-02,11.2,79.4,24.81
"		108",서울,2023-08-03,11,78.6,25.4
"		108",서울,2023-08-04,9.6,68.6,23.13
"		108",서울,2023-08-05,12.7,90.7,27.31
"		108",서울,2023-08-06,3.8,27.3,12.95
"		108",서울,2023-08-07,5.8,41.7,15.83
"		108",서울,2023-08-08,11,79.1,23.96
"		108",서울,2023-08-09,3.3,23.7,13.66
"		108",서울,2023-08-10,0,0,2.42
"		108",서울,2023-08-11,0,0,3.94
"		108",서울,2023-08-12,0.1,0.7,4.19
"		108",서울,2023-08-13,2.7,19.7,17.49
"		108",서울,2023-08-14,3.9,28.5,13.71
"		108",서울,2023-08-15,7.7,56.2,21.84
"		108",서울,2023-08-16,3.7,27.2,15.46
"		108",서울,2023-08-17,6.2,45.6,18.24
"		108",서울,2023-08-18,7.3,54.1,19.56
"		108",서울,2023-08-19,9.1,67.4,21.24
"		108",서울,2023-08-20,3.6,26.7,15.87
"		108",서울,2023-08-21,6.4,47.8,19.04
"		108",서울,2023-08-22,1.3,9.7,10.5
"		108",서울,2023-08-23,0.1,0.7,3.33
"		108",서울,2023-08-24,1.5,11.3,12.56
"		108",서울,2023-08-25,8.3,62.4,20.42
"		108",서울,2023-08-26,7.3,55.3,19.84
"		108",서울,2023-08-27,1.2,9.1,12
"		108",서울,2023-08-28,0,0,3.99
"		108",서울,2023-08-29,0,0,2.87
"		108",서울,2023-08-30,0,0,4.42
"		108",서울,2023-08-31,7,53.4,18.53
"		108",서울,2023-09-01,12.1,93.1,24.59
"		108",서울,2023-09-02,11.3,86.9,23.72
"		108",서울,2023-09-03,1.9,14.7,12.19
"		108",서울,2023-09-04,0.7,5.4,10.24
"		108",서울,2023-09-05,7,54.3,19.14
"		108",서울,2023-09-06,11.3,88.3,22.64
"		108",서울,2023-09-07,12.1,94.5,24.56
"		108",서울,2023-09-08,12,94.5,24.13
"		108",서울,2023-09-09,10.9,85.8,22.64
"		108",서울,2023-09-10,5.7,44.9,14.57
"		108",서울,2023-09-11,5.1,40.5,14.79
"		108",서울,2023-09-12,3.5,27.8,12.52
"		108",서울,2023-09-13,0,0,3.35
"		108",서울,2023-09-14,4.2,33.6,13.7
"		108",서울,2023-09-15,0.1,0.8,5.35
"		108",서울,2023-09-16,0.1,0.8,6.3
"		108",서울,2023-09-17,3.3,26.6,12.49
"		108",서울,2023-09-18,4.9,39.5,13.83
"		108",서울,2023-09-19,1.3,10.6,8.98
"		108",서울,2023-09-20,0,0,2.53
"		108",서울,2023-09-21,2.4,19.7,13.28
"		108",서울,2023-09-22,10.4,85.2,20.37
"		108",서울,2023-09-23,10.9,89.3,19.69
"		108",서울,2023-09-24,9,74.4,19.16
"		108",서울,2023-09-25,1.3,10.7,11.15
"		108",서울,2023-09-26,0,0,2.33
"		108",서울,2023-09-27,0.1,0.8,6.65
"		108",서울,2023-09-28,8.4,70,17.06
"		108",서울,2023-09-29,5.5,46.2,16.39
"		108",서울,2023-09-30,1.6,13.4,7.45
"		108",서울,2023-10-01,10.4,88.1,20.05
"		108",서울,2023-10-02,10.3,87.3,19.93
"		108",서울,2023-10-03,3,25.6,9.4
"		108",서울,2023-10-04,5.3,45.3,12.11
"		108",서울,2023-10-05,10.6,90.6,19.99
"		108",서울,2023-10-06,8.8,75.9,17.92
"		108",서울,2023-10-07,5.2,44.8,13.16
"		108",서울,2023-10-08,0,0,5.92
"		108",서울,2023-10-09,4.2,36.5,11.77
"		108",서울,2023-10-10,10.6,92.2,18.62
"		108",서울,2023-10-11,10,87.7,17.49
"		108",서울,2023-10-12,7.3,64,14.4
"		108",서울,2023-10-13,2.5,21.9,9.14
"		108",서울,2023-10-14,2.5,22.1,6.54
"		108",서울,2023-10-15,6.1,54,13.73
"		108",서울,2023-10-16,10.4,92.9,18
"		108",서울,2023-10-17,10.4,92.9,17.85
"		108",서울,2023-10-18,8.3,74.1,14.37
"		108",서울,2023-10-19,0,0,2.88
"		108",서울,2023-10-20,10.1,91,17.9
"		108",서울,2023-10-21,8.6,77.5,16.7
"		108",서울,2023-10-22,8.6,78.2,14.58
"		108",서울,2023-10-23,6.5,59.1,12.64
"		108",서울,2023-10-24,3.7,33.9,9.34
"		108",서울,2023-10-25,6,55,11.4
"		108",서울,2023-10-26,0.8,7.3,5.79
"		108",서울,2023-10-27,4.6,42.6,10.07
"		108",서울,2023-10-28,9.7,89.8,15.3
"		108",서울,2023-10-29,9.7,89.8,15.3
"		108",서울,2023-10-30,9.3,86.9,13.71
"		108",서울,2023-10-31,5.2,48.6,10.57
"		108",서울,2023-11-01,0,0,2.23
"		108",서울,2023-11-02,8,75.5,12.86
"		108",서울,2023-11-03,1.2,11.3,6.1
"		108",서울,2023-11-04,2.8,26.7,8.32
"		108",서울,2023-11-05,0,0,3.75
"		108",서울,2023-11-06,0.8,7.6,4.42
"		108",서울,2023-11-07,8.4,80.8,14.34
"		108",서울,2023-11-08,9.4,90.4,13.65
"		108",서울,2023-11-09,2.1,20.2,6.78
"		108",서울,2023-11-10,9,87.4,14.52
"		108",서울,2023-11-11,7,68,10.9
"		108",서울,2023-11-12,9.5,92.2,14.17
"		108",서울,2023-11-13,9.5,93.1,14.18
"		108",서울,2023-11-14,9.3,91.2,12.94
"		108",서울,2023-11-15,6.9,67.6,10.47
"		108",서울,2023-11-16,0,0,1.09
"		108",서울,2023-11-17,5,49.5,7.42
"		108",서울,2023-11-18,9.3,92.1,12.88
"		108",서울,2023-11-19,5.4,53.5,7.79
"		108",서울,2023-11-20,9.3,92.1,12.93
"		108",서울,2023-11-21,9.3,93,12.57
"		108",서울,2023-11-22,6.5,65,10.28
"		108",서울,2023-11-23,5,50,8.41
"		108",서울,2023-11-24,8.6,86.9,12.67
"		108",서울,2023-11-25,9.1,91.9,12.67
"		108",서울,2023-11-26,1.4,14.1,6.39
"		108",서울,2023-11-27,0.9,9.1,2.35
"		108",서울,2023-11-28,6.3,59.4,9.86
"		108",서울,2023-11-29,2.7,25.5,4.75
"		108",서울,2023-11-30,9.2,93.9,12.44
"		108",서울,2023-12-01,9.2,93.9,12.2
"		108",서울,2023-12-02,4,40.8,8.25
"		108",서울,2023-12-03,9.1,92.9,11.62
"		108",서울,2023-12-04,8.2,84.5,10.39
"		108",서울,2023-12-05,6.8,70.1,8.09
"		108",서울,2023-12-06,0,0,1.87
"		108",서울,2023-12-07,6.7,69.1,9.35
"		108",서울,2023-12-08,5.3,54.6,7.54
"		108",서울,2023-12-09,0.8,8.2,4.05
"		108",서울,2023-12-10,,0,
"		108",서울,2023-12-11,0,0,1.54
"		108",서울,2023-12-12,3.5,36.5,6.08
"		108",서울,2023-12-13,2.3,24,6.06
"		108",서울,2023-12-14,0,0,1.46
"		108",서울,2023-12-15,0,0,1.48
"		108",서울,2023-12-16,4.6,47.9,8.49
"		108",서울,2023-12-17,9,93.8,11.81
"		108",서울,2023-12-18,4.1,42.7,7.01
"		108",서울,2023-12-19,0.8,8.3,5.77
"		108",서울,2023-12-20,6,62.5,9.07
"		108",서울,2023-12-21,9,93.8,11.49
"		108",서울,2023-12-22,9.1,94.8,11.56
"		108",서울,2023-12-23,8.9,92.7,10.84
"		108",서울,2023-12-24,6.9,71.9,10.09
"		108",서울,2023-12-25,1.7,17.7,4.14
"		108",서울,2023-12-26,7.5,78.1,9.17
"		108",서울,2023-12-27,8.2,85.4,9.47
"		108",서울,2023-12-28,8.1,84.4,9.25
"		108",서울,2023-12-29,1.8,18.8,5.43
"		108",서울,2023-12-30,0,0,0.69
"		108",서울,2023-12-31,0.6,6.3,3.06
"		108",서울,2024-01-01,4.3,44.8,7.44
"		108",서울,2024-01-02,0.3,3.1,3.87
"		108",서울,2024-01-03,1.2,12.4,3.32
"		108",서울,2024-01-04,0.5,5.2,5.22
"		108",서울,2024-01-05,5.7,58.8,7.77
"		108",서울,2024-01-06,8.7,89.7,11.42
"		108",서울,2024-01-07,9.1,93.8,12.13
"		108",서울,2024-01-08,8.3,85.6,11.65
"		108",서울,2024-01-09,0,0,1.48
"		108",서울,2024-01-10,5,51,7.81
"		108",서울,2024-01-11,0.4,4.1,4.58
"		108",서울,2024-01-12,8.9,90.8,11.77
"		108",서울,2024-01-13,9.1,92.9,12.05
"		108",서울,2024-01-14,0.7,7.1,1.28
"		108",서울,2024-01-15,9.2,92.9,12.82
"		108",서울,2024-01-16,8.3,83.8,11.86
"		108",서울,2024-01-17,0,0,1.9
"		108",서울,2024-01-18,6.3,63.6,9.86
"		108",서울,2024-01-19,7.1,71.7,10.29
"		108",서울,2024-01-20,0,0,2.74
"		108",서울,2024-01-21,0,0,3.57
"		108",서울,2024-01-22,3.6,36,8.49
"		108",서울,2024-01-23,9.1,91,13.53
"		108",서울,2024-01-24,9.3,92.1,13.63
"		108",서울,2024-01-25,9.4,93.1,13.57
"		108",서울,2024-01-26,9.4,93.1,12.68
"		108",서울,2024-01-27,8,78.4,12.43
"		108",서울,2024-01-28,8,78.4,12.52
"		108",서울,2024-01-29,9.2,90.2,12.65
"		108",서울,2024-01-30,9.4,91.3,12.73
"		108",서울,2024-01-31,8.9,86.4,12.65
"		108",서울,2024-02-01,6.8,66,10.12
"		108",서울,2024-02-02,4.4,42.7,10.3
"		108",서울,2024-02-03,1,9.6,6.77
"		108",서울,2024-02-04,4.6,44.2,10.88
"		108",서울,2024-02-05,0,0,3.47
"		108",서울,2024-02-06,0,0,4.49
"		108",서울,2024-02-07,0,0,3.61
"		108",서울,2024-02-08,9.2,86.8,13.96
"		108",서울,2024-02-09,6.9,65.1,12.47
"		108",서울,2024-02-10,5.6,52.8,11.32
"		108",서울,2024-02-11,5.6,52.3,10.38
"		108",서울,2024-02-12,9.7,90.7,15.35
"		108",서울,2024-02-13,5.5,51.4,10.98
"		108",서울,2024-02-14,4,37,10.39
"		108",서울,2024-02-15,0.9,8.3,2.71
"		108",서울,2024-02-16,7.9,73.1,13.32
"		108",서울,2024-02-17,8.7,79.8,15.33
"		108",서울,2024-02-18,1.1,10.1,3.01
"		108",서울,2024-02-19,0,0,1.37
"		108",서울,2024-02-20,0,0,2.34
"		108",서울,2024-02-21,0,0,2.77
"		108",서울,2024-02-22,0,0,4.5
"		108",서울,2024-02-23,5.8,52.3,15.28
"		108",서울,2024-02-24,5.5,49.5,12.07
"		108",서울,2024-02-25,0.9,8,7.55
"		108",서울,2024-02-26,6.8,60.7,14.98
"		108",서울,2024-02-27,5.5,48.7,13.06
"		108",서울,2024-02-28,1.7,15,10.2
"		108",서울,2024-02-29,1.2,10.6,7.01
"		108",서울,2024-03-01,10.6,93,20.33
"		108",서울,2024-03-02,5.8,50.9,13.21
"		108",서울,2024-03-03,6.6,57.4,13.52
"		108",서울,2024-03-04,9.5,82.6,17.79
"		108",서울,2024-03-05,0.1,0.9,6.29
"		108",서울,2024-03-06,2.3,19.8,10.31
"		108",서울,2024-03-07,2.5,21.6,8.77
"		108",서울,2024-03-08,10.4,88.9,19.91
"		108",서울,2024-03-09,10.9,93.2,21.15
"		108",서울,2024-03-10,10.9,93.2,20.38
"		108",서울,2024-03-11,,,
"		108",서울,2024-03-12,0,0,0.3
"		108",서울,2024-03-13,10.9,91.6,20.78
"		108",서울,2024-03-14,,0,
"		108",서울,2024-03-15,10.6,89.1,20.18
"		108",서울,2024-03-16,8.3,69.2,18.28
"		108",서울,2024-03-17,8.7,72.5,18.59
"		108",서울,2024-03-18,10.6,87.6,21.33
"		108",서울,2024-03-19,2.7,22.3,9.63
"		108",서울,2024-03-20,9,74.4,19.09
"		108",서울,2024-03-21,11.3,92.6,22.43
"		108",서울,2024-03-22,3.5,28.7,10.25
"		108",서울,2024-03-23,8.2,66.7,19.2
"		108",서울,2024-03-24,8.1,65.9,19.89
"		108",서울,2024-03-25,0,0,4.68
"		108",서울,2024-03-26,2.3,18.5,13.76
"		108",서울,2024-03-27,8.8,71,18.46
"		108",서울,2024-03-28,0,0,4.13
"		108",서울,2024-03-29,2.5,20,6.68
"		108",서울,2024-03-30,5.4,43.2,16.07
"		108",서울,2024-03-31,10.1,80.2,22.79
"		108",서울,2024-04-01,11.5,91.3,23.72
"		108",서울,2024-04-02,9.5,74.8,21.69
"		108",서울,2024-04-03,0.3,2.4,7.18
"		108",서울,2024-04-04,3.6,28.1,15.47
"		108",서울,2024-04-05,6.2,48.4,17.11
"		108",서울,2024-04-06,6.6,51.6,17.49
"		108",서울,2024-04-07,11.4,88.4,23.4
"		108",서울,2024-04-08,2,15.5,14.44
"		108",서울,2024-04-09,11.9,92.2,25.68
"		108",서울,2024-04-10,3.9,30,15.38
"		108",서울,2024-04-11,4,30.8,14.28
"		108",서울,2024-04-12,9.8,74.8,23.59
"		108",서울,2024-04-13,12.1,92.4,25.65
"		108",서울,2024-04-14,11.7,89.3,24.93
"		108",서울,2024-04-15,0,0,3.18
"		108",서울,2024-04-16,3.7,28,13.45
"		108",서울,2024-04-17,10.3,77.4,23.2
"		108",서울,2024-04-18,11.7,88,25.45
"		108",서울,2024-04-19,10.4,78.2,23.5
"		108",서울,2024-04-20,0,0,4.46
"		108",서울,2024-04-21,1,7.5,11.86
"		108",서울,2024-04-22,4.6,34.3,19.34
"		108",서울,2024-04-23,6,44.4,19.16
"		108",서울,2024-04-24,1.9,14.1,9.53
"		108",서울,2024-04-25,6.2,45.6,18.59
"		108",서울,2024-04-26,10.7,78.7,23.74
"		108",서울,2024-04-27,12.5,91.9,28.23
"		108",서울,2024-04-28,11.4,83.2,25.14
"		108",서울,2024-04-29,8.8,64.2,21.36
"		108",서울,2024-04-30,5.5,40.1,17.95
"		108",서울,2024-05-01,9.8,71,26.05
"		108",서울,2024-05-02,12.8,92.8,28.72
"		108",서울,2024-05-03,12.8,92.8,28.28
"		108",서울,2024-05-04,12.5,89.9,26.61
"		108",서울,2024-05-05,0,0,2.17
"		108",서울,2024-05-06,0,0,2.71
"		108",서울,2024-05-07,0,0,4.75
"		108",서울,2024-05-08,11,78.6,27.21
"		108",서울,2024-05-09,12.8,91.4,27.17
"		108",서울,2024-05-10,12.5,88.7,28.02
"		108",서울,2024-05-11,0.1,0.7,5.72
"		108",서울,2024-05-12,11.4,80.9,28.91
"		108",서울,2024-05-13,13.1,92.9,30.09
"		108",서울,2024-05-14,13,91.5,30.02
"		108",서울,2024-05-15,3.1,21.8,8.35
"		108",서울,2024-05-16,13.1,92.3,31.35
"		108",서울,2024-05-17,10.8,75.5,24.4
"		108",서울,2024-05-18,11.3,79,26.88
"		108",서울,2024-05-19,12.6,88.1,28.99
"		108",서울,2024-05-20,0.5,3.5,11.45
"		108",서울,2024-05-21,9.4,65.3,26.37
"		108",서울,2024-05-22,10,69.4,27.4
"		108",서울,2024-05-23,12.7,88.2,30.1
"		108",서울,2024-05-24,4.7,32.6,20.51
"		108",서울,2024-05-25,2.3,15.9,17.34
"		108",서울,2024-05-26,3.1,21.4,10.2
"		108",서울,2024-05-27,9.9,68.3,26.89
"		108",서울,2024-05-28,11.1,76.6,27.55
"		108",서울,2024-05-29,13.2,91,29.38
"		108",서울,2024-05-30,0.6,4.1,12.97
"		108",서울,2024-05-31,11.8,80.8,30.31
"		108",서울,2024-06-01,9.4,64.4,27.02
"		108",서울,2024-06-02,12.4,84.9,28.7
"		108",서울,2024-06-03,11.2,76.7,29.95
"		108",서울,2024-06-04,13.5,92.5,31.17
"		108",서울,2024-06-05,10.4,70.7,25.14
"		108",서울,2024-06-06,9.3,63.3,24.47
"		108",서울,2024-06-07,7.1,48.3,20.41
"		108",서울,2024-06-08,2.5,17,9.7
"		108",서울,2024-06-09,12.3,83.7,28.38
"		108",서울,2024-06-10,11.9,81,26.57
"		108",서울,2024-06-11,10.2,69.4,27.17
"		108",서울,2024-06-12,11.3,76.9,27.73
"		108",서울,2024-06-13,13.3,90.5,29.8
"		108",서울,2024-06-14,9.1,61.5,24.24
"		108",서울,2024-06-15,3.4,23,15.71
"		108",서울,2024-06-16,13.2,89.2,30.02
"		108",서울,2024-06-17,13.1,88.5,28.17
"		108",서울,2024-06-18,13.4,90.5,29.22
"		108",서울,2024-06-19,13,87.8,28.25
"		108",서울,2024-06-20,12.1,81.8,25.99
"		108",서울,2024-06-21,10.3,69.6,24.75
"		108",서울,2024-06-22,0,0,3.59
"		108",서울,2024-06-23,3.8,25.7,18.84
"		108",서울,2024-06-24,7,47.3,19.62
"		108",서울,2024-06-25,10.7,72.3,25.24
"		108",서울,2024-06-26,12.3,83.1,27.64
"		108",서울,2024-06-27,9.3,62.8,23.84
"		108",서울,2024-06-28,13.2,89.2,28.84
"		108",서울,2024-06-29,6.9,46.9,20.46
"		108",서울,2024-06-30,0,0,3.89
