조건별분석,,,,
[검색조건],,,,
,분류: 지상,,,
"		108",서울,2023-07-28,72.4,52
"		108",서울,2023-07-29,72.1,52
"		108",서울,2023-07-30,72.5,49
"		108",서울,2023-07-31,76.3,60
"		108",서울,2023-08-01,71.6,55
"		108",서울,2023-08-02,67.8,48
"		108",서울,2023-08-03,67,54
"		108",서울,2023-08-04,67.6,53
"		108",서울,2023-08-05,69,50
"		108",서울,2023-08-06,76.5,63
"		108",서울,2023-08-07,68.4,56
"		108",서울,2023-08-08,60.5,47
"		108",서울,2023-08-09,67.6,57
"		108",서울,2023-08-10,91.9,80
"		108",서울,2023-08-11,93.1,83
"		108",서울,2023-08-12,91,82
"		108",서울,2023-08-13,76.9,58
"		108",서울,2023-08-14,75.4,60
"		108",서울,2023-08-15,71.4,58
"		108",서울,2023-08-16,72,58
"		108",서울,2023-08-17,73,52
"		108",서울,2023-08-18,72.1,56
"		108",서울,2023-08-19,68.9,54
"		108",서울,2023-08-20,71.8,56
"		108",서울,2023-08-21,69.8,55
"		108",서울,2023-08-22,80.3,61
"		108",서울,2023-08-23,91.3,80
"		108",서울,2023-08-24,84.8,75
"		108",서울,2023-08-25,77.9,60
"		108",서울,2023-08-26,72.3,49
"		108",서울,2023-08-27,75,62
"		108",서울,2023-08-28,87.5,73
"		108",서울,2023-08-29,89.6,80
"		108",서울,2023-08-30,88,75
"		108",서울,2023-08-31,76.9,48
"		108",서울,2023-09-01,70.6,42
"		108",서울,2023-09-02,63.9,39
"		108",서울,2023-09-03,77.8,67
"		108",서울,2023-09-04,79.9,65
"		108",서울,2023-09-05,69.5,54
"		108",서울,2023-09-06,65.1,45
"		108",서울,2023-09-07,54.8,37
"		108",서울,2023-09-08,60.3,42
"		108",서울,2023-09-09,66.3,45
"		108",서울,2023-09-10,68.1,53
"		108",서울,2023-09-11,67.3,50
"		108",서울,2023-09-12,69.8,55
"		108",서울,2023-09-13,84.5,70
"		108",서울,2023-09-14,72.4,60
"		108",서울,2023-09-15,82.3,67
"		108",서울,2023-09-16,87.8,76
"		108",서울,2023-09-17,84.8,68
"		108",서울,2023-09-18,79.1,58
"		108",서울,2023-09-19,81.1,62
"		108",서울,2023-09-20,90.4,80
"		108",서울,2023-09-21,70.9,53
"		108",서울,2023-09-22,68.4,37
"		108",서울,2023-09-23,63.9,38
"		108",서울,2023-09-24,56.4,37
"		108",서울,2023-09-25,66.4,49
"		108",서울,2023-09-26,95.8,87
"		108",서울,2023-09-27,90.1,81
"		108",서울,2023-09-28,78.3,54
"		108",서울,2023-09-29,61.5,33
"		108",서울,2023-09-30,77,64
"		108",서울,2023-10-01,59.5,34
"		108",서울,2023-10-02,53.8,27
"		108",서울,2023-10-03,66.3,47
"		108",서울,2023-10-04,75.5,53
"		108",서울,2023-10-05,46.1,34
"		108",서울,2023-10-06,55.3,33
"		108",서울,2023-10-07,62.6,42
"		108",서울,2023-10-08,67.1,61
"		108",서울,2023-10-09,68.1,51
"		108",서울,2023-10-10,67.1,36
"		108",서울,2023-10-11,57.5,33
"		108",서울,2023-10-12,62.4,40
"		108",서울,2023-10-13,69.6,50
"		108",서울,2023-10-14,84.9,68
"		108",서울,2023-10-15,80,52
"		108",서울,2023-10-16,57,33
"		108",서울,2023-10-17,55.6,26
"		108",서울,2023-10-18,67,39
"		108",서울,2023-10-19,82.5,65
"		108",서울,2023-10-20,46.9,32
"		108",서울,2023-10-21,54.8,31
"		108",서울,2023-10-22,67.3,42
"		108",서울,2023-10-23,73.8,47
"		108",서울,2023-10-24,78.5,62
"		108",서울,2023-10-25,78.6,53
"		108",서울,2023-10-26,79.4,67
"		108",서울,2023-10-27,71.1,49
"		108",서울,2023-10-28,62.9,27
"		108",서울,2023-10-29,61.6,34
"		108",서울,2023-10-30,72,44
"		108",서울,2023-10-31,76,54
"		108",서울,2023-11-01,81.8,77
"		108",서울,2023-11-02,70.9,38
"		108",서울,2023-11-03,83.3,70
"		108",서울,2023-11-04,75.5,64
"		108",서울,2023-11-05,87,71
"		108",서울,2023-11-06,84.9,56
"		108",서울,2023-11-07,62.5,44
"		108",서울,2023-11-08,55.1,23
"		108",서울,2023-11-09,73.1,54
"		108",서울,2023-11-10,53.1,31
"		108",서울,2023-11-11,47.9,26
"		108",서울,2023-11-12,53.8,37
"		108",서울,2023-11-13,54,32
"		108",서울,2023-11-14,66.1,47
"		108",서울,2023-11-15,71.4,48
"		108",서울,2023-11-16,85,69
"		108",서울,2023-11-17,59.3,37
"		108",서울,2023-11-18,58.9,48
"		108",서울,2023-11-19,68.3,45
"		108",서울,2023-11-20,58.4,30
"		108",서울,2023-11-21,59.6,27
"		108",서울,2023-11-22,68.1,48
"		108",서울,2023-11-23,71.1,50
"		108",서울,2023-11-24,51.8,32
"		108",서울,2023-11-25,42.8,22
"		108",서울,2023-11-26,43.6,35
"		108",서울,2023-11-27,82.9,55
"		108",서울,2023-11-28,58,35.5
"		108",서울,2023-11-29,59,45.7
"		108",서울,2023-11-30,48.5,35
"		108",서울,2023-12-01,55.3,36
"		108",서울,2023-12-02,60.8,48
"		108",서울,2023-12-03,56.3,30
"		108",서울,2023-12-04,59.5,35
"		108",서울,2023-12-05,55.4,43
"		108",서울,2023-12-06,76.1,65
"		108",서울,2023-12-07,64,48
"		108",서울,2023-12-08,73.4,57
"		108",서울,2023-12-09,82.9,70
"		108",서울,2023-12-10,67.9,46
"		108",서울,2023-12-11,82.9,66
"		108",서울,2023-12-12,75.6,58
"		108",서울,2023-12-13,74.1,61
"		108",서울,2023-12-14,85.8,66
"		108",서울,2023-12-15,95.4,88
"		108",서울,2023-12-16,68.9,46
"		108",서울,2023-12-17,48.9,36
"		108",서울,2023-12-18,45.1,33
"		108",서울,2023-12-19,63.1,41
"		108",서울,2023-12-20,64.1,50
"		108",서울,2023-12-21,57.4,44
"		108",서울,2023-12-22,51.8,39
"		108",서울,2023-12-23,53.4,37
"		108",서울,2023-12-24,73.4,53
"		108",서울,2023-12-25,80.8,58
"		108",서울,2023-12-26,72.9,51
"		108",서울,2023-12-27,76.6,56
"		108",서울,2023-12-28,69.5,53
"		108",서울,2023-12-29,71,60
"		108",서울,2023-12-30,92,76
"		108",서울,2023-12-31,95.5,84
"		108",서울,2024-01-01,83.4,65
"		108",서울,2024-01-02,72.6,59
"		108",서울,2024-01-03,80.4,72
"		108",서울,2024-01-04,74.3,64
"		108",서울,2024-01-05,77.1,59
"		108",서울,2024-01-06,63.9,34
"		108",서울,2024-01-07,57.4,34
"		108",서울,2024-01-08,57.8,29
"		108",서울,2024-01-09,84,62
"		108",서울,2024-01-10,85.9,69
"		108",서울,2024-01-11,80.6,69
"		108",서울,2024-01-12,61.6,28
"		108",서울,2024-01-13,44.3,23
"		108",서울,2024-01-14,74.5,53
"		108",서울,2024-01-15,51.3,34
"		108",서울,2024-01-16,49.8,32
"		108",서울,2024-01-17,78.5,54
"		108",서울,2024-01-18,81.5,63
"		108",서울,2024-01-19,65.4,52
"		108",서울,2024-01-20,69.5,57
"		108",서울,2024-01-21,75.8,65
"		108",서울,2024-01-22,65.6,55
"		108",서울,2024-01-23,53.6,44
"		108",서울,2024-01-24,52,39
"		108",서울,2024-01-25,47.8,30
"		108",서울,2024-01-26,62.5,39
"		108",서울,2024-01-27,70,41
"		108",서울,2024-01-28,62.3,44
"		108",서울,2024-01-29,66.6,42
"		108",서울,2024-01-30,59.3,28
"		108",서울,2024-01-31,54.1,28
"		108",서울,2024-02-01,64.9,42
"		108",서울,2024-02-02,65.5,48
"		108",서울,2024-02-03,63.9,50
"		108",서울,2024-02-04,60.9,44
"		108",서울,2024-02-05,81.8,60
"		108",서울,2024-02-06,83.5,71
"		108",서울,2024-02-07,76.6,59
"		108",서울,2024-02-08,66.9,41
"		108",서울,2024-02-09,66.8,42
"		108",서울,2024-02-10,69.4,40
"		108",서울,2024-02-11,70.6,49
"		108",서울,2024-02-12,62.8,30
"		108",서울,2024-02-13,70.6,57
"		108",서울,2024-02-14,76.4,60
"		108",서울,2024-02-15,89.9,68
"		108",서울,2024-02-16,72.4,46
"		108",서울,2024-02-17,73.5,48
"		108",서울,2024-02-18,81.4,54
"		108",서울,2024-02-19,95.8,87
"		108",서울,2024-02-20,86.3,75
"		108",서울,2024-02-21,92.5,75
"		108",서울,2024-02-22,84.5,73
"		108",서울,2024-02-23,68.8,50
"		108",서울,2024-02-24,68.6,48
"		108",서울,2024-02-25,80.8,63
"		108",서울,2024-02-26,65.3,39
"		108",서울,2024-02-27,52,36
"		108",서울,2024-02-28,59.5,47
"		108",서울,2024-02-29,63.6,43
"		108",서울,2024-03-01,38.9,24
"		108",서울,2024-03-02,60.4,48
"		108",서울,2024-03-03,71.5,42
"		108",서울,2024-03-04,45.5,17
"		108",서울,2024-03-05,45.1,32
"		108",서울,2024-03-06,58.8,46
"		108",서울,2024-03-07,62.4,45
"		108",서울,2024-03-08,50.6,26
"		108",서울,2024-03-09,50.8,24
"		108",서울,2024-03-10,54,26
"		108",서울,2024-03-11,62.3,34
"		108",서울,2024-03-12,78,62
"		108",서울,2024-03-13,57.6,27
"		108",서울,2024-03-14,58.3,23
"		108",서울,2024-03-15,68.5,43
"		108",서울,2024-03-16,54.5,19
"		108",서울,2024-03-17,48,28
"		108",서울,2024-03-18,28.6,13
"		108",서울,2024-03-19,60.8,39
"		108",서울,2024-03-20,46.5,26
"		108",서울,2024-03-21,46.5,25
"		108",서울,2024-03-22,57,31
"		108",서울,2024-03-23,66,42
"		108",서울,2024-03-24,42.5,22
"		108",서울,2024-03-25,63,39
"		108",서울,2024-03-26,77.3,55
"		108",서울,2024-03-27,68.4,46
"		108",서울,2024-03-28,81.8,67
"		108",서울,2024-03-29,73,49
"		108",서울,2024-03-30,56.5,30
"		108",서울,2024-03-31,39.9,17
"		108",서울,2024-04-01,32,14
"		108",서울,2024-04-02,37.5,18
"		108",서울,2024-04-03,55.9,42
"		108",서울,2024-04-04,52.1,39
"		108",서울,2024-04-05,51.3,39
"		108",서울,2024-04-06,48.6,28
"		108",서울,2024-04-07,33.4,21
"		108",서울,2024-04-08,46.5,28
"		108",서울,2024-04-09,32.4,19
"		108",서울,2024-04-10,62.6,32
"		108",서울,2024-04-11,61,41
"		108",서울,2024-04-12,59.6,30
"		108",서울,2024-04-13,52.4,24
"		108",서울,2024-04-14,47.1,25
"		108",서울,2024-04-15,77.4,44
"		108",서울,2024-04-16,82.6,60
"		108",서울,2024-04-17,65.3,35
"		108",서울,2024-04-18,53.3,28
"		108",서울,2024-04-19,51.8,34
"		108",서울,2024-04-20,77.3,58
"		108",서울,2024-04-21,65.5,54
"		108",서울,2024-04-22,49.4,38
"		108",서울,2024-04-23,55,37
"		108",서울,2024-04-24,80.1,63
"		108",서울,2024-04-25,75.6,47
"		108",서울,2024-04-26,61.1,21
"		108",서울,2024-04-27,56.4,30
"		108",서울,2024-04-28,53.5,22
"		108",서울,2024-04-29,48,36
"		108",서울,2024-04-30,62.5,45
"		108",서울,2024-05-01,46,27
"		108",서울,2024-05-02,48.4,29
"		108",서울,2024-05-03,46.9,27
"		108",서울,2024-05-04,44.8,27
"		108",서울,2024-05-05,87.4,44
"		108",서울,2024-05-06,92.9,88
"		108",서울,2024-05-07,77.3,60
"		108",서울,2024-05-08,58.8,36
"		108",서울,2024-05-09,63.6,35
"		108",서울,2024-05-10,55.6,29
"		108",서울,2024-05-11,80,54
"		108",서울,2024-05-12,65,39
"		108",서울,2024-05-13,51.9,27
"		108",서울,2024-05-14,43.3,23
"		108",서울,2024-05-15,74.3,41
"		108",서울,2024-05-16,61.3,32
"		108",서울,2024-05-17,63.6,42
"		108",서울,2024-05-18,65.3,46
"		108",서울,2024-05-19,63.1,30
"		108",서울,2024-05-20,75,63
"		108",서울,2024-05-21,68.1,33
"		108",서울,2024-05-22,68.9,44
"		108",서울,2024-05-23,67.9,43
"		108",서울,2024-05-24,75.1,61
"		108",서울,2024-05-25,62.8,47
"		108",서울,2024-05-26,74.3,49
"		108",서울,2024-05-27,63.4,40
"		108",서울,2024-05-28,54.8,32
"		108",서울,2024-05-29,51.6,30
"		108",서울,2024-05-30,49.1,37
"		108",서울,2024-05-31,60,35
"		108",서울,2024-06-01,61.3,34
"		108",서울,2024-06-02,51.9,36
"		108",서울,2024-06-03,47.4,29
"		108",서울,2024-06-04,42.1,29
"		108",서울,2024-06-05,53.9,36
"		108",서울,2024-06-06,54.3,31
"		108",서울,2024-06-07,54.3,40
"		108",서울,2024-06-08,79.5,58
"		108",서울,2024-06-09,68.9,47
"		108",서울,2024-06-10,66.3,44
"		108",서울,2024-06-11,62.4,40
"		108",서울,2024-06-12,60.8,35
"		108",서울,2024-06-13,51.4,28
"		108",서울,2024-06-14,56,35
"		108",서울,2024-06-15,72.3,55
"		108",서울,2024-06-16,58.4,38
"		108",서울,2024-06-17,48.4,28
"		108",서울,2024-06-18,59.5,35
"		108",서울,2024-06-19,54.3,32
"		108",서울,2024-06-20,45.1,27
"		108",서울,2024-06-21,49.8,34
"		108",서울,2024-06-22,80.6,59
"		108",서울,2024-06-23,79.5,59
"		108",서울,2024-06-24,70.4,45
"		108",서울,2024-06-25,61.9,42
"		108",서울,2024-06-26,61,38
"		108",서울,2024-06-27,55,38
"		108",서울,2024-06-28,54.6,35
"		108",서울,2024-06-29,65.1,44
"		108",서울,2024-06-30,88.5,80
"		108",서울,2024-07-01,69.1,47
"		108",서울,2024-07-02,90,77
"		108",서울,2024-07-03,80.3,70
"		108",서울,2024-07-04,74.8,56
"		108",서울,2024-07-05,80.5,67
"		108",서울,2024-07-06,84.1,73
"		108",서울,2024-07-07,85.1,68
"		108",서울,2024-07-08,93.4,89
"		108",서울,2024-07-09,86.9,78
"		108",서울,2024-07-10,77.1,57
"		108",서울,2024-07-11,79.6,66
"		108",서울,2024-07-12,79.5,59
"		108",서울,2024-07-13,70,40
"		108",서울,2024-07-14,65.9,54
"		108",서울,2024-07-15,64.6,55
"		108",서울,2024-07-16,78.4,62
"		108",서울,2024-07-17,91.6,76
"		108",서울,2024-07-18,95.3,89
"		108",서울,2024-07-19,80.1,60
"		108",서울,2024-07-20,80.4,67
"		108",서울,2024-07-21,83.6,72
"		108",서울,2024-07-22,89,81
"		108",서울,2024-07-23,87.9,80
"		108",서울,2024-07-24,85,71
"		108",서울,2024-07-25,79.8,64
"		108",서울,2024-07-26,81.9,65
"		108",서울,2024-07-27,83.6,68
"		108",서울,2024-07-28,76,59
"		108",서울,2024-07-29,84,80
"		108",서울,2024-07-30,78.8,66
"		108",서울,2024-07-31,74.5,59
"		108",서울,2024-08-01,75.5,64
"		108",서울,2024-08-02,79.4,67
"		108",서울,2024-08-03,75,58
"		108",서울,2024-08-04,69.3,50
"		108",서울,2024-08-05,75.5,61
"		108",서울,2024-08-06,74.8,57
"		108",서울,2024-08-07,72,55
"		108",서울,2024-08-08,77.5,63
"		108",서울,2024-08-09,74.1,56
"		108",서울,2024-08-10,70.8,55
"		108",서울,2024-08-11,67.8,53
"		108",서울,2024-08-12,70.5,57
"		108",서울,2024-08-13,70,49
"		108",서울,2024-08-14,73,52
"		108",서울,2024-08-15,74.6,53
"		108",서울,2024-08-16,69.4,51
"		108",서울,2024-08-17,71,53
"		108",서울,2024-08-18,73.8,56
"		108",서울,2024-08-19,72.3,46
"		108",서울,2024-08-20,68.3,54
"		108",서울,2024-08-21,85.9,71
"		108",서울,2024-08-22,79.9,70
"		108",서울,2024-08-23,73.5,59
"		108",서울,2024-08-24,78.8,66
"		108",서울,2024-08-25,76.6,58
"		108",서울,2024-08-26,77.8,61
"		108",서울,2024-08-27,69.8,52
"		108",서울,2024-08-28,62.1,46
"		108",서울,2024-08-29,61,49
"		108",서울,2024-08-30,64,45
"		108",서울,2024-08-31,65.6,40
"		108",서울,2024-09-01,64.9,41
"		108",서울,2024-09-02,73.6,65
"		108",서울,2024-09-03,54.5,44
"		108",서울,2024-09-04,61.4,42
"		108",서울,2024-09-05,79.1,63
"		108",서울,2024-09-06,79.3,69
"		108",서울,2024-09-07,68.9,50
"		108",서울,2024-09-08,69.6,47
"		108",서울,2024-09-09,69,50
"		108",서울,2024-09-10,67.3,51
"		108",서울,2024-09-11,71.5,50
"		108",서울,2024-09-12,91.5,85
"		108",서울,2024-09-13,91.4,80
"		108",서울,2024-09-14,80.3,59
"		108",서울,2024-09-15,73.6,59
"		108",서울,2024-09-16,74,58
"		108",서울,2024-09-17,77,59
"		108",서울,2024-09-18,76.8,61
"		108",서울,2024-09-19,77.4,63
"		108",서울,2024-09-20,89.8,80
"		108",서울,2024-09-21,82.3,69
"		108",서울,2024-09-22,67.4,50
"		108",서울,2024-09-23,58.3,42
"		108",서울,2024-09-24,57.9,37
"		108",서울,2024-09-25,65.6,55
"		108",서울,2024-09-26,75.1,57
"		108",서울,2024-09-27,72.8,49
"		108",서울,2024-09-28,59.3,48
"		108",서울,2024-09-29,61.5,47
"		108",서울,2024-09-30,63,45
"		108",서울,2024-10-01,67.5,39
"		108",서울,2024-10-02,48.8,31
"		108",서울,2024-10-03,59,37
"		108",서울,2024-10-04,60,35
"		108",서울,2024-10-05,60.4,38
"		108",서울,2024-10-06,73.5,61
"		108",서울,2024-10-07,73.9,56
"		108",서울,2024-10-08,73.9,51
"		108",서울,2024-10-09,64.1,44
"		108",서울,2024-10-10,66.3,46
"		108",서울,2024-10-11,68.8,40
"		108",서울,2024-10-12,60.6,26
"		108",서울,2024-10-13,67,47
"		108",서울,2024-10-14,70.3,50
"		108",서울,2024-10-15,85,77
"		108",서울,2024-10-16,76.9,49
"		108",서울,2024-10-17,70.4,46
"		108",서울,2024-10-18,86.1,74
"		108",서울,2024-10-19,75,60
"		108",서울,2024-10-20,56,42
"		108",서울,2024-10-21,66.4,52
"		108",서울,2024-10-22,90.8,72
"		108",서울,2024-10-23,75.3,61
"		108",서울,2024-10-24,71.4,49
"		108",서울,2024-10-25,64.1,33
"		108",서울,2024-10-26,68.3,45
"		108",서울,2024-10-27,79.4,67
"		108",서울,2024-10-28,75.9,60
"		108",서울,2024-10-29,64.6,49
"		108",서울,2024-10-30,71.3,46
"		108",서울,2024-10-31,67.8,42
"		108",서울,2024-11-01,70.8,55
"		108",서울,2024-11-02,58.9,41
"		108",서울,2024-11-03,71.1,47
"		108",서울,2024-11-04,62,32
"		108",서울,2024-11-05,49.8,28
"		108",서울,2024-11-06,46.1,29
"		108",서울,2024-11-07,48.1,27
"		108",서울,2024-11-08,50.8,33
"		108",서울,2024-11-09,55.8,34
"		108",서울,2024-11-10,64,45
"		108",서울,2024-11-11,64.5,35
"		108",서울,2024-11-12,66.8,44
"		108",서울,2024-11-13,62.9,41
"		108",서울,2024-11-14,68.4,61
"		108",서울,2024-11-15,65.1,48
"		108",서울,2024-11-16,72.5,46
"		108",서울,2024-11-17,47.6,31
"		108",서울,2024-11-18,30.9,21
"		108",서울,2024-11-19,49.5,39
"		108",서울,2024-11-20,65.8,49
"		108",서울,2024-11-21,71.9,54
"		108",서울,2024-11-22,48,33
"		108",서울,2024-11-23,47.1,35
"		108",서울,2024-11-24,58.4,37
"		108",서울,2024-11-25,57.6,47
"		108",서울,2024-11-26,86.4,54
"		108",서울,2024-11-27,90.6,78
"		108",서울,2024-11-28,82,63
